Jugador,Nacionalidad,Posicion,Equipo,Competicion,Edad,Partidos jugados,Minutos jugados,Titularidades,Goles,Asistencias,Atajadas,Penales atajados,Penales convertidos,Penales ejecutados,Entradas (tackles),Tarjetas amarillas,Tarjetas rojas,Regates exitosos,Pases completados,Intercepciones,Nac_Esperada,Es_autoctono
Jamie Gittens,eng ENG,"FW,MF",Dortmund,Bundesliga,20.0,31,1770,21,8,3,,,0,0,30,3,0,77,427,10,de GER,False
Serge Gnabry,de GER,"FW,MF",Bayern Munich,Bundesliga,29.0,26,1152,12,6,5,,,0,1,19,0,0,17,469,6,de GER,True
Ben Godfrey,eng ENG,DF,Atalanta,Serie A,27.0,1,23,0,0,0,,,0,0,0,0,0,0,8,0,it ITA,False
Martial Godo,eng ENG,"FW,DF",Fulham,Premier League,22.0,2,24,0,0,0,,,0,0,0,0,0,1,12,1,eng ENG,True
Saba Goglichidze,ge GEO,DF,Empoli,Serie A,20.0,31,2413,28,0,1,,,0,0,63,3,1,4,679,33,it ITA,False
Edoardo Goldaniga,it ITA,DF,Como,Serie A,31.0,31,2442,27,1,0,,,0,0,33,11,1,3,1247,29,it ITA,True
Michael Golding,eng ENG,MF,Leicester City,Premier League,18.0,1,1,0,0,0,,,0,0,0,0,0,0,0,0,eng ENG,True
Pierluigi Gollini,it ITA,GK,Genoa,Serie A,30.0,7,630,7,0,0,16.0,1.0,0,0,0,1,0,0,206,0,it ITA,True
Aleksandr Golovin,ru RUS,"MF,FW",Monaco,Ligue 1,28.0,19,1153,13,3,0,,,0,0,38,1,0,22,523,12,fr FRA,False
André Gomes,pt POR,MF,Lille,Ligue 1,31.0,20,1276,16,0,0,,,0,0,27,3,0,10,861,6,fr FRA,False
Angel Gomes,eng ENG,MF,Lille,Ligue 1,24.0,14,736,10,1,1,,,0,1,10,1,0,5,295,0,fr FRA,False
João Gomes,br BRA,MF,Wolves,Premier League,24.0,34,2839,34,3,1,,,0,0,105,10,1,26,1292,25,eng ENG,False
Rodrigo Gomes,pt POR,"DF,FW",Wolves,Premier League,21.0,23,705,6,2,0,,,0,0,21,0,0,5,180,5,eng ENG,False
Toti Gomes,pt POR,DF,Wolves,Premier League,26.0,29,2434,28,0,1,,,0,0,57,6,0,19,1354,24,eng ENG,False
Carlos Gómez,co COL,"MF,DF",Rennes,Ligue 1,22.0,16,351,2,2,0,,,0,0,8,1,0,8,84,2,fr FRA,False
Dani Gómez,es ESP,FW,Valencia,La Liga,26.0,14,532,5,2,0,,,0,0,3,0,0,3,62,2,es ESP,True
Diego Gómez,py PAR,MF,Brighton,Premier League,22.0,14,453,4,0,0,,,0,0,17,0,0,6,213,7,eng ENG,False
Joe Gomez,eng ENG,DF,Liverpool,Premier League,27.0,9,519,6,0,0,,,0,0,13,1,0,0,377,7,eng ENG,True
