Jugador,Nacionalidad,Posicion,Equipo,Competicion,Edad,Partidos jugados,Minutos jugados,Titularidades,Goles,Asistencias,Atajadas,Penales atajados,Penales convertidos,Penales ejecutados,Entradas (tackles),Tarjetas amarillas,Tarjetas rojas,Regates exitosos,Pases completados,Intercepciones,Nac_Esperada,Es_autoctono
Max Aarons,eng ENG,"DF,MF",Valencia,La Liga,25.0,2,104,1,0,0,,,0,0,3,1,0,1,29,0,es ESP,False
Rodrigo Abajas,es ESP,DF,Valencia,La Liga,22.0,1,65,1,0,0,,,0,0,3,1,0,1,17,1,es ESP,True
James Abankwah,ie IRL,"DF,MF",Udinese,Serie A,21.0,6,88,0,0,0,,,0,0,4,1,0,0,36,1,it ITA,False
Keyliane Abdallah,fr FRA,FW,Marseille,Ligue 1,19.0,1,3,0,0,0,,,0,0,1,0,0,0,2,0,fr FRA,True
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,Ligue 1,37.0,15,988,11,0,0,,,0,0,17,2,0,3,438,13,fr FRA,False
Himad Abdelli,dz ALG,"MF,FW",Angers,Ligue 1,25.0,31,2752,31,6,1,,,3,4,47,4,0,56,1322,25,fr FRA,False
Mohamed Abdelmoneim,eg EGY,DF,Nice,Ligue 1,26.0,12,855,10,0,0,,,0,0,21,2,0,1,471,15,fr FRA,False
Ali Abdi,tn TUN,"DF,MF",Nice,Ligue 1,31.0,24,1387,17,4,2,,,0,0,43,2,0,12,494,20,fr FRA,False
Saud Abdulhamid,sa KSA,DF,Roma,Serie A,25.0,4,205,2,0,1,,,0,0,3,0,0,3,118,2,it ITA,False
Abel,es ESP,DF,Osasuna,La Liga,24.0,32,2019,20,2,0,,,0,0,59,3,0,18,749,18,es ESP,True
Nabil Aberdin,fr FRA,MF,Getafe,La Liga,22.0,7,263,4,0,0,,,0,0,6,1,0,2,36,0,es ESP,False
Oliver Abildgaard,dk DEN,MF,Como,Serie A,28.0,1,7,0,0,0,,,0,0,0,0,0,0,1,0,it ITA,False
Matthis Abline,fr FRA,FW,Nantes,Ligue 1,22.0,33,2678,32,8,2,,,1,1,11,3,0,33,333,3,fr FRA,True
Abner,br BRA,DF,Lyon,Ligue 1,24.0,18,1089,12,1,1,,,0,0,29,1,0,6,568,5,fr FRA,False
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,Ligue 1,25.0,25,1869,22,7,2,,,1,2,21,4,0,15,217,6,fr FRA,False
Abdel Abqar,ma MAR,DF,Alavés,La Liga,26.0,29,2463,29,0,1,,,0,0,36,13,0,3,719,39,es ESP,False
Tammy Abraham,eng ENG,FW,Milan,Serie A,27.0,28,1183,12,3,4,,,1,2,17,1,0,4,152,2,it ITA,False
Federico Accornero,it ITA,MF,Genoa,Serie A,21.0,1,5,0,0,0,,,0,0,0,0,0,0,4,0,it ITA,True
Francesco Acerbi,it ITA,DF,Inter,Serie A,37.0,21,1589,19,0,1,,,0,0,23,0,0,3,1110,26,it ITA,True
Joshua Acheampong,eng ENG,DF,Chelsea,Premier League,19.0,4,170,2,0,0,,,0,0,2,1,0,1,104,1,eng ENG,True
Akor Adams,ng NGA,FW,Montpellier,Ligue 1,25.0,15,1075,13,3,1,,,0,0,4,2,0,7,112,1,fr FRA,False
Che Adams,sct SCO,FW,Torino,Serie A,28.0,34,2472,28,9,3,,,0,1,10,2,0,11,385,2,it ITA,False
Tyler Adams,us USA,MF,Bournemouth,Premier League,26.0,26,1785,19,0,3,,,0,0,78,7,0,3,817,32,eng ENG,False
Junior Adamu,at AUT,FW,Freiburg,Bundesliga,23.0,24,1472,18,2,2,,,0,0,9,5,1,10,190,12,de GER,False
Tosin Adarabioyo,eng ENG,DF,Chelsea,Premier League,27.0,20,1229,13,1,1,,,0,0,14,3,0,4,988,10,eng ENG,True
Martin Adeline,fr FRA,MF,Reims,Ligue 1,21.0,1,26,0,0,0,,,0,0,1,0,0,0,8,0,fr FRA,True
Karim Adeyemi,de GER,"FW,MF",Dortmund,Bundesliga,23.0,24,1363,16,7,6,,,0,0,20,3,0,38,283,7,de GER,True
Simon Adingra,ci CIV,"FW,MF",Brighton,Premier League,23.0,27,988,10,2,2,,,0,0,23,0,0,21,264,8,eng ENG,False
Amine Adli,ma MAR,"MF,FW",Leverkusen,Bundesliga,25.0,19,721,6,2,0,,,0,0,14,3,0,15,261,0,de GER,False
Yacine Adli,fr FRA,MF,Fiorentina,Serie A,24.0,25,1206,15,4,5,,,0,0,32,3,1,12,697,6,it ITA,False
Adrián,es ESP,GK,Betis,La Liga,38.0,16,1440,16,0,0,37.0,0.0,0,0,0,3,0,0,387,0,es ESP,True
Adryelson,br BRA,DF,Lyon,Ligue 1,27.0,1,1,0,0,0,,,0,0,0,1,0,0,1,1,fr FRA,False
Vasilije Adžić,me MNE,"MF,FW",Juventus,Serie A,19.0,5,41,0,0,0,,,0,0,2,0,0,0,15,0,it ITA,False
Michel Aebischer,ch SUI,MF,Bologna,Serie A,28.0,13,679,8,0,0,,,0,0,17,1,0,3,343,6,it ITA,False
Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,Bundesliga,27.0,31,1594,16,3,1,,,0,0,17,3,0,47,306,8,de GER,False
Emmanuel Agbadou,ci CIV,DF,Reims,Ligue 1,27.0,14,1260,14,0,0,,,0,0,25,3,0,9,810,19,fr FRA,False
Asher Agbinone,eng ENG,MF,Crystal Palace,Premier League,19.0,2,6,0,0,0,,,0,0,2,0,0,0,2,0,eng ENG,True
Jeremy Agbonifo,se SWE,"FW,MF",Lens,Ligue 1,19.0,8,300,1,1,0,,,0,0,7,1,0,9,58,1,fr FRA,False
Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,24.0,14,1206,14,0,0,24.0,1.0,0,0,0,1,1,0,281,0,es ESP,True
Lucien Agoume,fr FRA,MF,Sevilla,La Liga,23.0,32,1844,21,1,1,,,0,0,59,4,1,17,876,35,es ESP,False
Felix Agu,de GER,DF,Werder Bremen,Bundesliga,25.0,21,1680,20,3,0,,,0,0,28,1,0,8,622,18,de GER,True
Álvaro Aguado,es ESP,MF,Espanyol,La Liga,29.0,15,431,4,0,1,,,0,0,4,3,0,4,188,4,es ESP,True
Lorenzo Aguado,es ESP,DF,Real Madrid,La Liga,22.0,2,5,0,0,0,,,0,0,0,0,0,0,1,0,es ESP,True
Nayef Aguerd,ma MAR,DF,Real Sociedad,La Liga,29.0,21,1760,21,0,0,,,0,0,30,5,0,5,1213,13,es ESP,False
Ruben Aguilar,fr FRA,"DF,MF",Lens,Ligue 1,32.0,15,1045,12,1,1,,,0,0,34,4,0,9,638,13,fr FRA,True
Naouirou Ahamada,fr FRA,"MF,FW",Rennes,Ligue 1,23.0,3,58,0,0,0,,,0,0,0,0,0,0,17,2,fr FRA,True
Honest Ahanor,it ITA,"DF,MF",Genoa,Serie A,17.0,6,270,3,0,0,,,0,0,6,0,0,0,51,1,it ITA,True
Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,Bundesliga,23.0,5,43,0,0,0,,,0,0,0,0,0,0,10,1,de GER,False
Jean-Eudes Aholou,ci CIV,MF,Angers,Ligue 1,31.0,26,1959,26,2,0,,,0,0,56,7,0,12,644,33,fr FRA,False
Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,29.0,1,2,0,0,0,,,0,0,1,0,0,0,6,0,es ESP,False
Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,Ligue 1,19.0,5,127,1,0,0,,,0,0,3,0,0,0,17,1,fr FRA,True
Ola Aina,ng NGA,DF,Nott'ham Forest,Premier League,28.0,33,2823,33,2,1,,,0,0,54,4,0,32,935,31,eng ENG,False
Rayan Aït-Nouri,dz ALG,DF,Wolves,Premier League,23.0,35,2955,35,4,7,,,0,0,85,7,1,61,1355,25,eng ENG,False
Junior Ajayi,ci CIV,FW,Hellas Verona,Serie A,20.0,2,13,0,0,0,,,0,0,0,0,0,0,4,0,it ITA,False
Kristoffer Ajer,no NOR,DF,Brentford,Premier League,27.0,22,1405,17,0,0,,,0,0,25,5,0,7,489,12,eng ENG,False
Ludovic Ajorque,fr FRA,FW,Brest,Ligue 1,31.0,30,2413,28,13,2,,,0,1,25,5,0,8,446,6,fr FRA,True
Manuel Akanji,ch SUI,DF,Manchester City,Premier League,29.0,24,1834,21,0,0,,,0,0,17,3,0,2,1519,7,eng ENG,False
Ümit Akdag,ro ROU,DF,Toulouse,Ligue 1,21.0,8,495,6,0,0,,,0,0,8,2,0,1,269,11,fr FRA,False
Nathan Aké,nl NED,DF,Manchester City,Premier League,30.0,10,678,8,0,0,,,0,0,9,0,0,1,509,3,eng ENG,False
Ilias Akhomach,ma MAR,"MF,FW",Villarreal,La Liga,21.0,11,584,7,1,0,,,0,0,12,1,0,19,136,3,es ESP,False
Sergio Akieme,es ESP,DF,Reims,Ligue 1,27.0,29,2433,28,1,3,,,0,0,32,5,0,13,920,17,fr FRA,False
Maghnes Akliouche,fr FRA,"FW,MF",Monaco,Ligue 1,23.0,31,2398,27,5,10,,,1,1,51,2,0,50,985,15,fr FRA,True
Paul Akouokou,ci CIV,MF,Lyon,Ligue 1,27.0,2,19,0,0,0,,,0,0,1,1,0,0,10,1,fr FRA,False
Clément Akpa,ci CIV,DF,Auxerre,Ligue 1,23.0,30,2416,28,0,1,,,0,0,54,7,0,8,979,40,fr FRA,False
Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,Serie A,32.0,12,786,10,0,0,,,0,0,26,4,0,12,209,11,it ITA,False
David Akpan Ankeye,ng NGA,"FW,MF",Genoa,Serie A,23.0,4,45,0,0,0,,,0,0,0,0,0,1,6,0,it ITA,False
Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,30.0,31,2130,22,0,0,,,0,0,52,3,0,8,1159,26,de GER,False
Chuba Akpom,eng ENG,FW,Lille,Ligue 1,29.0,13,621,6,2,1,,,0,1,8,0,0,4,65,0,fr FRA,False
David Alaba,at AUT,DF,Real Madrid,La Liga,32.0,7,317,4,0,0,,,0,0,1,1,0,0,206,6,es ESP,False
Andreas Albers,dk DEN,FW,St. Pauli,Bundesliga,35.0,14,62,0,1,0,,,0,0,1,0,0,2,15,0,de GER,False
Raúl Albiol,es ESP,DF,Villarreal,La Liga,39.0,15,1188,14,0,0,,,0,0,10,5,0,0,727,6,es ESP,True
Carlos Alcaraz,ar ARG,"FW,MF",Everton,Premier League,22.0,13,663,6,1,3,,,0,0,11,4,0,9,200,4,eng ENG,False
Omar Alderete,py PAR,DF,Getafe,La Liga,28.0,32,2791,32,1,0,,,0,0,41,8,0,18,705,37,es ESP,False
Carles Aleñá,es ESP,"MF,FW",Alavés,La Liga,27.0,11,847,10,0,2,,,0,0,17,1,0,9,290,2,es ESP,True
Ben Alexander Voll,de GER,GK,St. Pauli,Bundesliga,24.0,2,91,1,0,0,3.0,0.0,0,0,0,1,0,0,28,0,de GER,True
Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,26.0,32,2320,28,3,6,,,0,0,71,5,0,16,1411,30,eng ENG,True
Alfon,es ESP,"FW,MF",Celta Vigo,La Liga,26.0,23,1211,12,4,2,,,0,0,6,1,1,22,244,4,es ESP,True
Mohamed Ali Cho,fr FRA,"FW,MF",Nice,Ligue 1,21.0,27,1621,21,3,4,,,0,0,13,2,0,20,338,5,fr FRA,True
Faride Alidou,de GER,"FW,MF",Hellas Verona,Serie A,23.0,3,71,0,0,0,,,0,0,0,0,0,2,16,1,it ITA,False
Alisson,br BRA,GK,Liverpool,Premier League,32.0,26,2328,26,0,0,60.0,0.0,0,0,1,0,0,1,711,0,eng ENG,False
Tadeo Allende,ar ARG,FW,Celta Vigo,La Liga,26.0,1,2,0,0,0,,,0,0,0,1,0,0,1,0,es ESP,False
Jim Allevinah,ga GAB,FW,Angers,Ligue 1,30.0,28,1750,23,1,3,,,0,0,19,3,0,15,363,12,fr FRA,False
Dele Alli,eng ENG,MF,Como,Serie A,29.0,1,9,0,0,0,,,0,0,0,0,1,0,3,0,it ITA,False
Thiago Almada,ar ARG,"MF,FW",Lyon,Ligue 1,24.0,15,874,8,1,4,,,0,0,13,3,0,8,580,7,fr FRA,False
Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,La Liga,24.0,32,1821,22,0,3,,,0,0,46,2,0,21,721,8,es ESP,False
Iker Almena,es ESP,"FW,DF",Girona,La Liga,21.0,2,48,0,0,1,,,0,0,0,0,0,2,23,0,es ESP,True
Miguel Almirón,py PAR,FW,Newcastle Utd,Premier League,31.0,9,157,1,0,0,,,0,0,3,0,0,1,54,0,eng ENG,False
Pontus Almqvist,se SWE,"FW,MF",Parma,Serie A,25.0,29,1112,10,1,1,,,0,0,17,5,0,20,215,19,it ITA,False
Marcos Alonso,es ESP,DF,Celta Vigo,La Liga,34.0,29,2474,27,2,0,,,2,2,33,9,2,15,1997,34,es ESP,True
Giorgio Altare,it ITA,DF,Venezia,Serie A,26.0,12,753,8,0,0,,,0,0,13,2,0,5,283,17,it ITA,True
Adrià Altimira,es ESP,"DF,FW",Leganés,La Liga,24.0,19,1360,16,0,0,,,0,0,33,5,0,9,373,15,es ESP,True
Sergi Altimira,es ESP,MF,Betis,La Liga,23.0,30,1837,20,0,1,,,0,0,54,4,0,15,1030,21,es ESP,True
Edson Álvarez,mx MEX,MF,West Ham,Premier League,27.0,26,1660,19,0,1,,,0,0,44,8,1,14,785,17,eng ENG,False
Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,La Liga,21.0,25,1560,16,4,3,,,0,0,24,6,0,32,787,8,es ESP,True
Julián Álvarez,ar ARG,FW,Atlético Madrid,La Liga,25.0,34,2268,27,15,2,,,4,4,24,5,0,29,643,0,es ESP,False
Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,30.0,20,1691,19,1,0,,,0,0,24,4,0,6,929,34,es ESP,True
Skelly Alvero,fr FRA,MF,Werder Bremen,Bundesliga,23.0,12,236,1,0,0,,,0,0,11,1,0,2,68,2,de GER,False
Will Alves,eng ENG,FW,Leicester City,Premier League,20.0,1,1,0,0,0,,,0,0,0,0,0,0,1,0,eng ENG,True
Selim Amallah,ma MAR,MF,Valladolid,La Liga,28.0,23,1331,17,3,1,,,1,1,29,6,0,30,309,14,es ESP,False
Harry Amass,eng ENG,DF,Manchester Utd,Premier League,18.0,5,346,4,0,0,,,0,0,6,0,0,3,148,2,eng ENG,True
Amath,sn SEN,"FW,DF",Valladolid,La Liga,28.0,11,352,5,0,1,,,0,0,2,1,0,4,75,2,es ESP,False
Jordan Amavi,fr FRA,DF,Brest,Ligue 1,31.0,11,790,8,0,0,,,0,0,24,2,0,7,386,7,fr FRA,True
Aurele Amenda,ch SUI,DF,Eint Frankfurt,Bundesliga,21.0,7,88,1,0,0,,,0,0,1,1,0,1,58,1,de GER,False
Kelvin Amian,fr FRA,DF,Nantes,Ligue 1,27.0,29,2075,22,1,0,,,0,0,54,5,0,13,691,11,fr FRA,True
Michael Amir Murillo,pa PAN,DF,Marseille,Ligue 1,29.0,29,2347,26,1,3,,,0,0,49,2,0,14,1616,18,fr FRA,False
Nadiem Amiri,de GER,MF,Mainz 05,Bundesliga,28.0,29,2384,29,7,4,,,2,2,48,9,2,32,1323,16,de GER,True
Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,Ligue 1,18.0,8,302,3,2,0,,,0,0,5,0,0,5,105,2,fr FRA,False
Mathis Amougou,fr FRA,MF,Saint-Étienne,Ligue 1,19.0,17,859,9,0,0,,,0,0,21,2,0,5,232,12,fr FRA,True
Mohamed Amoura,dz ALG,FW,Wolfsburg,Bundesliga,25.0,30,2378,28,10,8,,,2,2,26,6,0,36,507,9,de GER,False
Sofyan Amrabat,ma MAR,MF,Fiorentina,Serie A,28.0,2,180,2,0,0,,,0,0,3,0,0,0,112,0,it ITA,False
Joachim Andersen,dk DEN,DF,Fulham,Premier League,28.0,27,2403,27,0,0,,,0,0,26,5,1,4,1548,31,eng ENG,False
Elliot Anderson,eng ENG,MF,Nott'ham Forest,Premier League,22.0,35,2556,31,2,6,,,0,0,86,8,0,36,998,30,eng ENG,True
André,br BRA,MF,Wolves,Premier League,23.0,31,2337,29,0,0,,,0,0,88,7,0,15,1176,35,eng ENG,False
Benjamin André,fr FRA,MF,Lille,Ligue 1,34.0,29,2602,29,0,3,,,0,0,102,12,0,9,1530,48,fr FRA,True
Marcos André,br BRA,FW,Valladolid,La Liga,28.0,22,1188,14,1,2,,,0,0,10,5,0,17,138,3,es ESP,False
Robert Andrich,de GER,"MF,DF",Leverkusen,Bundesliga,30.0,22,1553,19,2,2,,,0,0,24,7,0,2,845,29,de GER,True
Angeliño,es ESP,DF,Roma,Serie A,28.0,35,2907,33,2,1,,,0,0,45,1,0,10,1431,26,it ITA,False
Lorenzo Anghelè,it ITA,FW,Juventus,Serie A,20.0,1,6,0,0,0,,,0,0,0,0,0,1,4,0,it ITA,True
Faustino Anjorin,eng ENG,MF,Empoli,Serie A,23.0,20,1062,14,2,3,,,0,0,27,3,0,15,334,11,it ITA,False
Waldemar Anton,de GER,DF,Dortmund,Bundesliga,28.0,25,1859,21,2,2,,,0,0,34,4,0,20,1584,28,de GER,True
Leandro Antonetti,pr PUR,FW,Sevilla,La Liga,22.0,1,11,0,0,0,,,0,0,0,0,0,0,1,0,es ESP,False
Kyllian Antonio,fr FRA,"DF,MF",Lens,Ligue 1,17.0,3,139,2,0,0,,,0,0,3,0,0,1,81,3,fr FRA,True
Michail Antonio,jm JAM,FW,West Ham,Premier League,35.0,14,836,11,1,1,,,0,0,2,1,0,9,114,0,eng ENG,False
Antoniu,es ESP,"MF,FW",Espanyol,La Liga,22.0,24,910,11,0,1,,,0,0,20,3,0,29,140,7,es ESP,True
Antony,br BRA,FW,Betis,La Liga,25.0,14,1137,13,4,2,,,0,0,19,2,1,21,537,9,es ESP,False
Anuar,ma MAR,"MF,FW",Valladolid,La Liga,30.0,23,1513,18,2,0,,,0,0,35,7,0,7,336,15,es ESP,False
Dennis Appiah,fr FRA,DF,Saint-Étienne,Ligue 1,32.0,28,2038,21,0,1,,,0,0,68,2,0,20,847,25,fr FRA,True
Aritz Arambarri,es ESP,DF,Leganés,La Liga,27.0,2,177,2,0,0,,,0,0,1,0,0,0,49,3,es ESP,True
Mauro Arambarri,uy URU,MF,Getafe,La Liga,29.0,32,2423,28,9,0,,,3,3,45,10,0,15,552,13,es ESP,False
Jon Aramburu,ve VEN,DF,Real Sociedad,La Liga,22.0,32,2314,27,1,1,,,0,0,94,8,0,7,1118,28,es ESP,False
Julian Araujo,mx MEX,DF,Bournemouth,Premier League,23.0,11,429,6,0,0,,,0,0,8,1,0,0,160,6,eng ENG,False
Ronald Araújo,uy URU,DF,Barcelona,La Liga,26.0,10,641,9,1,1,,,0,0,12,3,0,0,532,8,es ESP,False
Cameron Archer,eng ENG,FW,Southampton,Premier League,23.0,33,1398,13,2,0,,,0,1,11,0,0,14,191,2,eng ENG,True
Carlens Arcus,ht HAI,DF,Angers,Ligue 1,28.0,27,1957,24,0,1,,,0,0,50,3,0,8,768,26,fr FRA,False
Alphonse Areola,fr FRA,GK,West Ham,Premier League,32.0,25,2170,24,0,0,74.0,0.0,0,0,2,0,0,0,661,0,eng ENG,False
Adu Ares,es ESP,FW,Athletic Club,La Liga,23.0,1,19,0,0,0,,,0,0,0,0,0,0,5,0,es ESP,True
Jesús Areso,es ESP,DF,Osasuna,La Liga,25.0,33,2809,32,0,3,,,0,0,47,7,0,21,1031,8,es ESP,True
David Argüelles,es ESP,MF,Getafe,La Liga,23.0,1,7,0,0,0,,,0,0,0,0,0,0,3,0,es ESP,True
Joe Aribo,ng NGA,"MF,DF",Southampton,Premier League,28.0,31,1954,20,3,0,,,0,0,47,1,0,19,892,20,eng ENG,False
Adam Armstrong,eng ENG,"FW,MF",Southampton,Premier League,28.0,20,1248,15,2,2,,,0,1,12,4,0,6,231,3,eng ENG,True
Harrison Armstrong,eng ENG,MF,Everton,Premier League,18.0,3,48,0,0,0,,,0,0,0,1,0,1,7,0,eng ENG,True
José Arnaiz,es ESP,"MF,FW",Osasuna,La Liga,30.0,14,124,1,0,0,,,0,0,7,0,0,1,43,3,es ESP,True
Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,Ligue 1,22.0,24,1665,20,5,3,,,0,0,33,3,0,26,711,8,fr FRA,False
Marko Arnautović,at AUT,FW,Inter,Serie A,36.0,16,530,5,4,2,,,0,0,7,1,0,2,109,1,it ITA,False
Maximilian Arnold,de GER,MF,Wolfsburg,Bundesliga,30.0,27,2266,26,3,5,,,0,0,33,7,1,1,1017,24,de GER,True
Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,Bundesliga,25.0,23,713,3,2,0,,,1,2,13,8,1,14,102,3,de GER,True
Sergio Arribas,es ESP,DF,Betis,La Liga,22.0,1,90,1,0,0,,,0,0,7,0,0,0,37,3,es ESP,True
Kepa Arrizabalaga,es ESP,GK,Bournemouth,Premier League,30.0,29,2610,29,0,0,93.0,0.0,0,0,1,3,0,1,698,0,eng ENG,False
Arthur,br BRA,DF,Leverkusen,Bundesliga,22.0,19,686,7,0,1,,,0,0,14,0,0,5,288,9,de GER,False
Takuma Asano,jp JPN,"FW,MF",Mallorca,La Liga,30.0,21,1054,13,2,1,,,0,0,13,0,0,6,148,6,es ESP,False
Raúl Asencio,es ESP,DF,Real Madrid,La Liga,22.0,21,1517,16,0,1,,,0,0,20,3,0,6,867,12,es ESP,True
Marco Asensio,es ESP,"FW,MF",Paris S-G,Ligue 1,29.0,12,618,8,2,4,,,0,0,4,0,0,4,291,0,fr FRA,False
Kristjan Asllani,al ALB,MF,Inter,Serie A,23.0,21,898,9,2,2,,,2,2,13,4,0,1,801,8,it ITA,False
Iago Aspas,es ESP,"FW,MF",Celta Vigo,La Liga,37.0,28,1640,18,9,4,,,5,6,13,5,1,12,614,7,es ESP,True
Yaser Asprilla,co COL,"FW,MF",Girona,La Liga,21.0,24,1155,12,3,0,,,0,0,16,2,0,26,405,5,es ESP,False
Lorenz Assignon,tg TOG,"DF,MF",Rennes,Ligue 1,24.0,31,2267,26,3,4,,,0,0,46,8,0,27,984,24,fr FRA,False
Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,Ligue 1,20.0,11,95,0,0,0,,,0,0,6,0,0,3,37,1,fr FRA,True
Valentin Atangana Edoa,fr FRA,MF,Reims,Ligue 1,19.0,33,2767,32,1,0,,,0,0,68,7,0,14,902,36,fr FRA,True
Arthur Atta,fr FRA,"MF,FW",Udinese,Serie A,22.0,26,1175,11,0,1,,,0,0,20,5,0,25,477,7,it ITA,False
Noah Atubolu,de GER,GK,Freiburg,Bundesliga,22.0,25,2217,25,0,0,78.0,2.0,0,0,0,2,0,0,824,0,de GER,True
Emil Audero,id IDN,GK,Como,Serie A,28.0,8,720,8,0,0,16.0,0.0,0,0,0,0,0,0,209,0,it ITA,False
Tommaso Augello,it ITA,DF,Cagliari,Serie A,30.0,36,2550,28,0,6,,,0,0,48,3,0,24,1126,16,it ITA,True
Carlos Augusto,br BRA,DF,Inter,Serie A,26.0,27,1578,14,3,2,,,0,0,28,1,0,7,1000,8,it ITA,False
Yann Aurel Bisseck,de GER,DF,Inter,Serie A,24.0,25,1494,15,2,2,,,0,0,15,4,0,2,1065,16,it ITA,False
Brandon Austin,eng ENG,GK,Tottenham,Premier League,26.0,1,90,1,0,0,2.0,0.0,0,0,0,0,0,0,22,0,eng ENG,True
Ezequiel Ávila,ar ARG,FW,Betis,La Liga,31.0,19,677,6,2,0,,,0,0,8,5,1,5,166,2,es ESP,False
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,Premier League,27.0,26,416,3,1,0,,,0,0,6,0,0,4,61,0,eng ENG,False
Yasin Ayari,se SWE,MF,Brighton,Premier League,21.0,32,1848,20,1,1,,,0,0,56,3,0,18,745,20,eng ENG,False
Florian Ayé,fr FRA,FW,Auxerre,Ligue 1,28.0,25,568,4,2,0,,,0,0,2,0,0,2,93,7,fr FRA,True
André Ayew,gh GHA,FW,Le Havre,Ligue 1,35.0,26,1390,14,4,1,,,0,0,18,2,0,5,173,3,fr FRA,False
Jordan Ayew,gh GHA,"FW,MF",Leicester City,Premier League,33.0,28,1485,17,5,0,,,1,1,26,5,0,24,366,12,eng ENG,False
Neil El Aynaoui,fr FRA,MF,Lens,Ligue 1,23.0,23,1501,16,6,1,,,3,3,38,4,0,4,789,27,fr FRA,True
Ayman Azhil,ma MAR,MF,Dortmund,Bundesliga,24.0,1,24,0,0,0,,,0,0,1,1,0,0,3,0,de GER,False
Adam Aznou,ma MAR,DF,Bayern Munich,Bundesliga,18.0,2,17,0,0,0,,,0,0,0,0,0,0,13,0,de GER,False
César Azpilicueta,es ESP,DF,Atlético Madrid,La Liga,35.0,12,740,9,1,0,,,0,0,23,1,0,1,498,3,es ESP,True
Paulo Azzi,br BRA,DF,Cagliari,Serie A,30.0,6,426,5,0,0,,,0,0,11,2,0,8,126,5,it ITA,False
Oussama El Azzouzi,ma MAR,MF,Bologna,Serie A,23.0,2,19,0,0,0,,,0,0,0,0,0,0,17,2,it ITA,False
Papa Ba,es ESP,MF,Girona,La Liga,20.0,1,48,0,0,0,,,0,0,1,0,0,1,5,0,es ESP,True
Shavy Babicka,ga GAB,"MF,FW",Toulouse,Ligue 1,24.0,29,1181,11,4,2,,,0,0,21,2,0,11,194,3,fr FRA,False
Jacopo Bacci,it ITA,MF,Empoli,Serie A,19.0,3,31,0,0,0,,,0,0,1,0,0,0,6,1,it ITA,True
Aliou Badara Baldé,gn GUI,"MF,FW",Bochum,Bundesliga,22.0,5,91,0,0,0,,,0,0,1,1,0,2,11,0,de GER,False
Loïc Bade,fr FRA,DF,Sevilla,La Liga,25.0,30,2585,29,1,1,,,0,0,43,6,0,17,1526,29,es ESP,False
Milan Badelj,hr CRO,MF,Genoa,Serie A,36.0,22,1406,20,1,0,,,0,0,28,2,0,9,652,18,it ITA,False
Benoît Badiashile,fr FRA,DF,Chelsea,Premier League,24.0,5,334,3,0,0,,,0,0,9,0,0,0,273,6,eng ENG,False
Alex Baena,es ESP,MF,Villarreal,La Liga,23.0,29,2359,27,6,8,,,0,1,27,9,0,19,793,21,es ESP,True
Juma Bah,sl SLE,DF,Lens,Ligue 1,19.0,9,596,7,0,0,,,0,0,14,2,0,3,321,16,fr FRA,False
Leon Bailey,jm JAM,"FW,MF",Aston Villa,Premier League,27.0,23,1138,14,1,2,,,0,0,6,3,0,22,273,3,eng ENG,False
Eric Bailly,ci CIV,DF,Villarreal,La Liga,31.0,12,617,8,0,0,,,0,0,12,2,1,3,280,6,es ESP,False
Theo Bair,ca CAN,FW,Auxerre,Ligue 1,25.0,29,939,11,2,1,,,0,0,4,1,0,2,132,3,fr FRA,False
Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,La Liga,20.0,13,919,11,1,0,,,0,0,28,4,0,10,285,15,es ESP,True
Cédric Bakambu,cd COD,FW,Betis,La Liga,34.0,22,620,5,2,2,,,0,0,6,4,0,1,68,0,es ESP,False
Mitchel Bakker,nl NED,"FW,DF",Lille,Ligue 1,24.0,24,1139,14,3,2,,,0,0,23,3,1,11,499,12,fr FRA,False
Darryl Bakola,fr FRA,"DF,MF",Marseille,Ligue 1,17.0,2,14,0,0,0,,,0,0,1,1,0,0,12,0,fr FRA,True
Ridle Baku,de GER,"DF,MF",RB Leipzig,Bundesliga,27.0,18,1185,14,1,2,,,0,0,21,1,0,16,446,9,de GER,True
Dilane Bakwa,fr FRA,"MF,DF",Strasbourg,Ligue 1,22.0,29,2425,28,6,8,,,0,0,26,4,0,49,786,14,fr FRA,True
Tommaso Baldanzi,it ITA,"MF,FW",Roma,Serie A,22.0,28,818,5,1,1,,,0,0,12,2,0,17,297,6,it ITA,True
